Nom du fichier,Type de doc.,Extraits,References
lois_renseignement_perso,Lois,Extrait de lois,Loi sur la protection des renseignements personnels (https://laws-lois.justice.gc.ca)
lois_penale_adolescent,Lois,Extrait de lois,Loi sur le système de justice pénale pour les adolescents (https://laws-lois.justice.gc.ca)
lois_aliments,Lois,Extrait de lois,Règlement sur les aliments et drogues (https://laws-lois.justice.gc.ca)
lois_concurrence,Lois,Extrait de lois,Loi sur la concurrence (https://laws-lois.justice.gc.ca)
lois_electorale,Lois,Extrait de lois,Loi électorale du Canada (https://laws-lois.justice.gc.ca)
lois_interpretation,Lois,Extrait de lois,Loi d’interprétation (https://laws-lois.justice.gc.ca)
lois_oceans,Lois,Extrait de lois,Loi sur les océans (https://laws-lois.justice.gc.ca)
lois_sanction_agri,Lois,Extrait de lois,Loi sur les sanctions administratives pécuniaires en matière d’agriculture et d’agroalimentaire (https://laws-lois.justice.gc.ca)
recette_boeuf_bourgignon,Recette,Recette de cuisine,Boeuf bourguignon (https://www.marmiton.org)
recette_doigts_de_poulet,Recette,Recette de cuisine,Doigts de poulet croustillant (https://www.coupdepouce.com)
recette_pate_grec,Recette,Recette de cuisine,Pâté grec aux épinards et au féta (spanakopita) (https://www.coupdepouce.com)
recette_pizza_style_cheeseburger,Recette,Recette de cuisine,Pizza style cheeseburger (https://www.coupdepouce.com)
recette_salade_de_melon,Recette,Recette de cuisine,Salade de Melon à l'italienne (https://www.marmiton.org)
recette_les_tonkatsus,Recette,Recette de cuisine,Les tonkatsus (https://www.youtube.com/channel/UCiKw6tHmkwp77_M3jMvnzfg)
recette_porc_a_l_ail,Recette,Recette de cuisine,Porc à l'ail façon street food thaï (https://www.youtube.com/channel/UCiKw6tHmkwp77_M3jMvnzfg)
recette_porc_pimenté_coréen,Recette,Recette de cuisine,Porc pimenté coréen (https://www.youtube.com/channel/UCiKw6tHmkwp77_M3jMvnzfg)
recette_raviolis_coréens,Recette,Recette de cuisine,Mandu - Raviolis coréens (https://www.youtube.com/channel/UCiKw6tHmkwp77_M3jMvnzfg)
recette_gua_bao,Recette,Recette de cuisine,Gua Bao - Buns Taïwanais - Le Riz Jaune (https://www.youtube.com)
recette_soupe_soba,Recette,Recette de cuisine,Soupe Soba - Le Riz Jaune (https://www.youtube.com)
recette_udon,Recette,Recette de cuisine,Soupe japonaise au Udon et Kakiage de légumes - Le Riz Jaune (https://www.youtube.com)
recette_hu_tieu,Recette,Recette de cuisine,Soupe vietnamienne Hu Tieu - Soupe saigonnaise - Le Riz Jaune (https://www.youtube.com)
recette_gambas_panko,Recette,Recette de cuisine,Gambas panées au Panko - Ebi Fry - Le Riz Jaune (https://www.youtube.com)
roman_contes_de_loups_garous,Roman,Chapitre de roman,Contes de loups-garous (La Bibliothèque électronique du Québec)
roman_dark_faiz,Roman,Roman pour adolescent,Dark Faïz : Tout héros a sa légende de Sandrakiss45 
roman_fais_moi_un_signe,Roman,Chapitre de roman,"Fais-moi un signe !" Tome 1 (https://lirenligne.net)
roman_la_maison_sous_la_pluie,Roman,Chapitre de roman,La maison sous la pluie (La Bibliothèque électronique du Québec)
roman_la_mere_des_imbeciles,Roman,Chapitre de roman,"La mère des imbéciles est toujours enceinte..." (https://lirenligne.net)
roman_la_boutique,Roman,Chapitre de roman,LA BOUTIQUE de Jean-Félix Milan
roman_la_prophetie_des_anciens,Roman,Chapitre de roman,La prophétie des Anciens de Jean-louis ERMINE
roman_les_chroniques_d_agriffon,Roman,Chapitre de roman,Terra ll Nouvelle Ère
roman_le_secret_de_l_amulette,Roman,Chapitre de roman,Le secret de l’amulette de Régis Roy (https://fr.wikisource.org)
roman_la_main_de_fer,Roman,Chapitre de roman,La main de fer de Régis Roy (https://fr.wikisource.org)
roman_amour_moderne,Roman,Chapitre de roman,Amour moderne de Laetitia Filion (https://fr.wikisource.org)
roman_la_montagne_d_hiver,Roman,Chapitre de roman,La Montagne d’hiver de Michelle Le Normand (https://fr.wikisource.org)
roman_le_cow_boy_renegat,Roman,Chapitre de roman,Le cow-boy renégat de Paul Verchères (https://fr.wikisource.org)
roman_le_poids_du_jour,Roman,Chapitre de roman,Le Poids du jour de Ringuet (https://fr.wikisource.org)
wiki_chocolat_chaud,Wikipédia,Wikipédia Francophone,Chocolat chaud (https://fr.wikipedia.org)
wiki_frontenac,Wikipédia,Wikipédia Francophone,Château Frontenac (https://fr.wikipedia.org)
wiki_la_cuisine_québécoise,Wikipédia,Wikipédia Francophone,La cuisine québécoise (https://fr.wikipedia.org)
wiki_la_forêt_boréale,Wikipédia,Wikipédia Francophone,La forêt boréale canadienne (https://fr.wikipedia.org)
wiki_le_sirop_d'érable,Wikipédia,Wikipédia Francophone,Le sirop d'érable (https://fr.wikipedia.org)
wiki_les_huron-wendats,Wikipédia,Wikipédia Francophone,Les Hurons-Wendats (https://fr.wikipedia.org)
wiki_les_orignaux,Wikipédia,Wikipédia Francophone,Les orignaux (https://fr.wikipedia.org)
wiki_pistou,Wikipédia,Wikipédia Francophone,Suites logique d'article : Pistou -> Le parc national des Cinque Terre (https://fr.wikipedia.org)
wiki_poutine_plat,Wikipédia,Wikipédia Francophone,Poutine (plat) (https://fr.wikipedia.org)
wiki_quebec,Wikipédia,Wikipédia Francophone,Le Québec (https://fr.wikipedia.org)
wiki_harfang,Wikipédia,Wikipédia Francophone,Harfang des neiges (https://fr.wikipedia.org)
wiki_mont_vallin,Wikipédia,Wikipédia Francophone,Le parc des Mont-Valin (https://fr.wikipedia.org)
wiki_rocheuses,Wikipédia,Wikipédia Francophone,Les rocheuses canadiennes (https://fr.wikipedia.org)
wiki_ours_noir,Wikipédia,Wikipédia Francophone,L'ours noir (https://fr.wikipedia.org)
wiki_sepaq,Wikipédia,Wikipédia Francophone,SEPAQ (https://fr.wikipedia.org)
